record_id,image_seq,subject,subject_middle,section_title,question_no,rank_label,question_text,answer_symbol,answer_boolean,explanation_text,source_page_question,source_page_answer,source_image,issue_type,issue_detail,remarks,gpt_check_status,gpt_check_note,human_check_status
KB2025-069-001,069,行政法,行政手続法,目的・対象,7,B,[問題文読取困難 - 行政手続法上の「法令」とは法律および法律に基づく命令のみを含み条例は含まれないとする問題と思われる],×,false,行政手続法上の「法令」とは、法律、法律に基づく命令（施行令を含む）及び条例並びに地方公共団体の規則を含む概念である（行政手続法2条1号参照）。条例を除外するものではなく、本肢は誤り。,240,241,0069.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「7 ×」から確認,pending,pending,,pending
KB2025-069-002,069,行政法,行政手続法,目的・対象,8,C,[問題文読取困難 - 行政手続法は税務行政処分などの特定の処分については適用除外とする問題と思われる（行政手続法2条2号「処分」の定義との関連）],○,true,[解説読取困難 - 税務行政処分等が行政手続法上の「処分」に含まれるとの指摘またはその適用範囲の正しい説明の可能性（行政手続法2条2号・3条参照）。本肢は正しい],240,241,0069.png,読取揺れ,C問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「8 ○」から確認,pending,pending,,pending
KB2025-069-003,069,行政法,行政手続法,目的・対象,9,B,[問題文読取困難 - 法令に基づかない申請であっても行政手続法上の「申請」とみなされるとする問題と思われる],×,false,行政手続法上の「申請」とは、法令に基づき行政庁の許可・認可・免許その他の自己に対し何らかの利益を付与する処分を求める行為であって、当該法令に定められた手続に従いされるものをいう（行政手続法2条3号）。法令に基づかない申請は行政手続法上の「申請」にあたらず、本肢は誤り。,240,241,0069.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「9 ×」から確認,pending,pending,,pending
KB2025-069-004,069,行政法,行政手続法,目的・対象,10,B,[問題文読取困難 - 行政庁が申請の適正な手続を遵守するよう指示する規定があるとする問題と思われる],×,false,[解説読取困難 - 行政手続法の申請に対する処分の義務または手続の適正についての誤りを指摘する可能性。本肢は誤り],240,241,0069.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「10 ×」から確認,pending,pending,,pending
KB2025-069-005,069,行政法,行政手続法,目的・対象,11,B,[問題文読取困難 - 行政代執行は義務者の義務不履行に対する処置として行政手続法上の不利益処分に当たるとする問題と思われる],×,false,[解説読取困難 - 行政代執行の手続は行政手続法上の「不利益処分」の手続規定の対象外である旨を指摘する可能性（行政代執行法が特別法として優先）。本肢は誤り],240,241,0069.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「11 ×」から確認,pending,pending,,pending
KB2025-069-006,069,行政法,行政手続法,目的・対象,12,B,[問題文読取困難 - 行政代執行は義務者の義務不履行に対し行政手続法上の不利益処分の規定は適用されないとする問題と思われる],○,true,[解説読取困難 - 行政代執行は行政手続法上の「不利益処分」の規定が適用されないことを正しく指摘している可能性（行政代執行法が特別法として優先等）。本肢は正しい],240,241,0069.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「12 ○」から確認,pending,pending,,pending
KB2025-069-007,069,行政法,行政手続法,目的・対象,13,A,[問題文読取困難 - 申請について行政手続法上の補正義務または申請書の取扱いに関する問題と思われる],×,false,[解説読取困難 - 申請の補正義務（行政手続法7条）またはその範囲についての誤りを指摘する可能性。本肢は誤り],240,241,0069.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「13 ×」から確認。原本照合必須,pending,pending,,pending
KB2025-069-008,069,行政法,行政手続法,目的・対象,14,A,[問題文読取困難 - 申請の取下げまたは不利益処分に関する問題と思われる（行政手続法2条4号の不利益処分の定義との関連）],×,false,[解説読取困難 - 不利益処分の定義（行政手続法2条4号）またはその適用範囲についての誤りを指摘する可能性。本肢は誤り],240,241,0069.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「14 ×」から確認。原本照合必須,pending,pending,,pending
KB2025-096-001,096,行政法,行政不服審査法,不服申立て（対象）,4,B,行政不服審査法における「不作為」に関する定義について、不作為についても審査請求の対象に含まれる場合がある。,×,false,[解説読取困難 - 行政不服審査法における「不作為」の定義（行政不服審査法3条参照）または不作為に対する審査請求の要件についての誤りを指摘する可能性。本肢は誤り],292,293,0096.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「4 ×」から確認,pending,pending,,pending
KB2025-096-002,096,行政法,行政不服審査法,不服申立て（対象）,5,A,[問題文読取困難 - 不作為についての審査請求が認められる条件または範囲に関する問題と思われる],○,true,[解説読取困難 - 行政不服審査法における不作為に対する審査請求の要件についての正しい指摘の可能性（行政不服審査法3条等参照）。本肢は正しい],292,293,0096.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「5 ○」から確認。原本照合必須,pending,pending,,pending
KB2025-096-003,096,行政法,行政不服審査法,不服申立て（対象）,6,B,[問題文読取困難 - 行政不服審査法における不作為は申請から当然に生じた行政上の義務を怠った状態に合致するものとして判断されるとする問題と思われる（行政不服審査法3条）],×,false,[解説読取困難 - 行政不服審査法3条の不作為の定義またはその要件についての誤りを指摘する可能性。本肢は誤り],292,293,0096.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「6 ×」から確認,pending,pending,,pending
KB2025-096-004,096,行政法,行政不服審査法,不服申立て（対象）,7,B,[問題文読取困難 - 行政不服審査法における審査請求は一般処分による不服申立てを含む事実行為についての申立も対象とするとする問題と思われる],×,false,[解説読取困難 - 審査請求の対象となる処分・行為の範囲または事実行為の取扱いについての誤りを指摘する可能性（行政不服審査法1条1項・2条参照）。本肢は誤り],292,293,0096.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「7 ×」から確認,pending,pending,,pending
KB2025-096-005,096,行政法,行政不服審査法,不服申立て（対象）,8,B,[問題文読取困難 - 審査請求の対象である行為の処分は行政不服審査法の対象となるとする問題と思われる],○,true,[解説読取困難 - 行政不服審査法の対象となる処分についての正しい指摘の可能性（行政不服審査法2条等参照）。本肢は正しい],292,293,0096.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「8 ○」から確認,pending,pending,,pending
KB2025-096-006,096,行政法,行政不服審査法,不服申立て（対象）,9,B,[問題文読取困難 - 審査請求の対象となる処分の法的性質に基づく要件に関する問題と思われる],○,true,[解説読取困難 - 審査請求の対象処分の要件についての正しい指摘の可能性。本肢は正しい],292,293,0096.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「9 ○」から確認,pending,pending,,pending
